system   D            wsystem.c:583  maybe_parent_dir                 [   0.00254] Also searching C:\Users\box\Documents\Visual Studio 2012\Projects\Dungeon\
display  D   display_settings.c:191  debug_display_settings           [   0.06570] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06578] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.06585] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06593] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.06600] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06608] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.06615] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06623] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.06630] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06638] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.06645] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06653] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.06660] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06668] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.06674] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06682] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06689] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06701] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06709] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06718] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06725] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06733] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06740] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06748] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06755] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06763] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06770] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06777] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06784] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06793] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06800] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
